Country,Year,Gold,Total,IsHost,Prep,Alpha_c
Algeria,1952,0.0,0.0,0,0,0.0
Algeria,1956,0.0,0.0,0,0,0.0
Algeria,1960,0.0,0.0,0,0,0.0
Algeria,1964,0.0,0.0,0,0,0.0
Algeria,1968,0.0,0.0,0,0,0.0
Algeria,1972,0.0,0.0,0,0,0.0
Algeria,1976,0.0,0.0,0,0,0.0
Algeria,1980,0.0,0.0,0,0,0.0
Algeria,1984,0.0,2.0,0,0,0.0
Algeria,1988,0.0,0.0,0,0,0.0
Algeria,1992,1.0,2.0,0,0,0.0
Algeria,1996,2.0,3.0,0,0,0.0
Algeria,2000,1.0,5.0,0,0,0.0
Algeria,2004,0.0,0.0,0,0,0.0
Algeria,2008,0.0,2.0,0,0,0.0
Algeria,2012,1.0,1.0,0,0,0.0
Algeria,2016,0.0,2.0,0,0,0.0
Algeria,2020,0.0,0.0,0,0,0.0
Algeria,2024,2.0,3.0,0,0,0.0
Argentina,1952,1.0,5.0,0,0,0.0
Argentina,1956,0.0,2.0,0,0,0.0
Argentina,1960,0.0,2.0,0,0,0.0
Argentina,1964,0.0,1.0,0,0,0.0
Argentina,1968,0.0,2.0,0,0,0.0
Argentina,1972,0.0,1.0,0,0,0.0
Argentina,1976,0.0,0.0,0,0,0.0
Argentina,1980,0.0,0.0,0,0,0.0
Argentina,1984,0.0,0.0,0,0,0.0
Argentina,1988,0.0,2.0,0,0,0.0
Argentina,1992,0.0,1.0,0,0,0.0
Argentina,1996,0.0,3.0,0,0,0.0
Argentina,2000,0.0,4.0,0,0,0.0
Argentina,2004,2.0,6.0,0,0,0.0
Argentina,2008,2.0,6.0,0,0,0.0
Argentina,2012,1.0,4.0,0,0,0.0
Argentina,2016,3.0,4.0,0,0,0.0
Argentina,2020,0.0,3.0,0,0,0.0
Argentina,2024,1.0,3.0,0,0,0.0
Armenia,1952,0.0,0.0,0,0,0.0
Armenia,1956,0.0,0.0,0,0,0.0
Armenia,1960,0.0,0.0,0,0,0.0
Armenia,1964,0.0,0.0,0,0,0.0
Armenia,1968,0.0,0.0,0,0,0.0
Armenia,1972,0.0,0.0,0,0,0.0
Armenia,1976,0.0,0.0,0,0,0.0
Armenia,1980,0.0,0.0,0,0,0.0
Armenia,1984,0.0,0.0,0,0,0.0
Armenia,1988,0.0,0.0,0,0,0.0
Armenia,1992,0.0,0.0,0,0,0.0
Armenia,1996,1.0,2.0,0,0,0.0
Armenia,2000,0.0,1.0,0,0,0.0
Armenia,2004,0.0,0.0,0,0,0.0
Armenia,2008,0.0,5.0,0,0,0.0
Armenia,2012,0.0,2.0,0,0,0.0
Armenia,2016,1.0,4.0,0,0,0.0
Armenia,2020,0.0,4.0,0,0,0.0
Armenia,2024,0.0,4.0,0,0,0.0
Australia,1952,6.0,11.0,0,1,0.0
Australia,1956,13.0,35.0,1,1,0.0
Australia,1960,8.0,22.0,0,0,3.46875
Australia,1964,6.0,18.0,0,0,2.9
Australia,1968,5.0,17.0,0,0,2.673913
Australia,1972,8.0,17.0,0,0,2.568627
Australia,1976,0.0,5.0,0,0,2.305085
Australia,1980,2.0,9.0,0,0,2.525424
Australia,1984,4.0,24.0,0,0,2.622951
Australia,1988,3.0,14.0,0,0,2.6
Australia,1992,7.0,27.0,0,1,2.632353
Australia,1996,9.0,41.0,0,1,2.466667
Australia,2000,16.0,58.0,1,1,2.25
Australia,2004,17.0,50.0,0,0,2.19
Australia,2008,14.0,46.0,0,0,1.850427
Australia,2012,8.0,35.0,0,0,1.656489
Australia,2016,8.0,29.0,0,0,1.607914
Australia,2020,17.0,46.0,0,0,1.564626
Australia,2024,18.0,53.0,0,1,1.387195
Austria,1952,0.0,2.0,0,0,0.0
Austria,1956,0.0,2.0,0,0,0.0
Austria,1960,1.0,2.0,0,0,0.0
Austria,1964,0.0,0.0,0,0,0.0
Austria,1968,0.0,4.0,0,0,0.0
Austria,1972,0.0,3.0,0,0,0.0
Austria,1976,0.0,1.0,0,0,0.0
Austria,1980,1.0,4.0,0,0,0.0
Austria,1984,1.0,3.0,0,0,0.0
Austria,1988,1.0,1.0,0,0,0.0
Austria,1992,0.0,2.0,0,0,0.0
Austria,1996,0.0,3.0,0,0,0.0
Austria,2000,2.0,3.0,0,0,0.0
Austria,2004,2.0,7.0,0,0,0.0
Austria,2008,0.0,3.0,0,0,0.0
Austria,2012,0.0,0.0,0,0,0.0
Austria,2016,0.0,1.0,0,0,0.0
Austria,2020,1.0,7.0,0,0,0.0
Austria,2024,2.0,5.0,0,0,0.0
Azerbaijan,1952,0.0,0.0,0,0,0.0
Azerbaijan,1956,0.0,0.0,0,0,0.0
Azerbaijan,1960,0.0,0.0,0,0,0.0
Azerbaijan,1964,0.0,0.0,0,0,0.0
Azerbaijan,1968,0.0,0.0,0,0,0.0
