Country,HostYears,NextHostYear,IsFutureHost
Algeria,,,0
Argentina,,,0
Armenia,,,0
Australia,1956;2000;2032,2032,1
Austria,,,0
Azerbaijan,,,0
Bahamas,,,0
Belarus,,,0
Belgium,1920,,0
Brazil,2016,,0
Bulgaria,,,0
Cameroon,,,0
Canada,1976,,0
Chile,,,0
China,2008,,0
Chinese Taipei,,,0
Colombia,,,0
Croatia,,,0
Cuba,,,0
Czech Republic,,,0
Denmark,,,0
Dominican Republic,,,0
Egypt,,,0
Estonia,,,0
Ethiopia,,,0
Finland,1952,,0
France,1900;1924;2024,,0
Georgia,,,0
Germany,1936;1972,,0
Ghana,,,0
Great Britain,1908;1948;2012,,0
Greece,1896;2004,,0
Hong Kong,,,0
Hungary,,,0
India,,,0
Indonesia,,,0
Iran,,,0
Ireland,,,0
Israel,,,0
Italy,1960,,0
Jamaica,,,0
Japan,1964;2020,,0
Kazakhstan,,,0
Kenya,,,0
Latvia,,,0
Lithuania,,,0
Malaysia,,,0
Mexico,1968,,0
Moldova,,,0
Mongolia,,,0
Morocco,,,0
Netherlands,1928,,0
New Zealand,,,0
Nigeria,,,0
North Korea,,,0
Norway,,,0
Pakistan,,,0
Philippines,,,0
Poland,,,0
Portugal,,,0
Puerto Rico,,,0
Qatar,,,0
Romania,,,0
Russia,1980,,0
Serbia,,,0
Singapore,,,0
Slovakia,,,0
Slovenia,,,0
South Africa,,,0
South Korea,1988,,0
Spain,1992,,0
Sweden,1912,,0
Switzerland,,,0
Thailand,,,0
Trinidad and Tobago,,,0
Tunisia,,,0
Turkey,,,0
Uganda,,,0
Ukraine,,,0
United States,1904;1932;1984;1996;2028,2028,1
Uzbekistan,,,0
Venezuela,,,0
